Number,VcsUrl,JobName,Repo,Link,Inspection_1,Subtype_1,Purpose,IS_CONFLICT?Purpose,2 Label,2 Remarks,3 remarks,Final Label,Final Label notes,Programming Purposes,Mechanism_1,Mechanism_2,IS_CONFLICT?Mechanism,,Programming Mechanisms,Impact (HALT/SKIP/MINIMIZE),magnitude,IS_CONFLICT_Magnitude,Final_magnitude,Programming Magnitude,Remark_1,Purpose_sub,Remark_2,VcsUrl,JobName,Repo,Link,Related statements,From original only,WeightedMiddle,AverageRatio,HighestRatio,LowestRatio,ValidBuildCount,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
160,https://github.com/electron/electron,mas-testing-tests,electron/electron,mas-testing-tests,#N/A,Skip testing when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,mas-testing-tests,electron/electron,mas-testing-tests,if [ -s src/electron/.skip-ci-build ]; then,,0.641013477,0.599889651,0.83489595,0.167024616,12426,4191140566550869105,13218,884,TRUE
83,https://github.com/electron/electron,mas-testing-x64,electron/electron,mas-testing-x64,#N/A,Skip builds (many things) when only documents are modified; Use cache for PR commits,Skip if only changed docs,△,,,,,,Skip if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; ,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; ,HALT;OTHER,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,mas-testing-x64,electron/electron,mas-testing-x64,if [ -s src/electron/.skip-ci-build ]; then,,0.46587332,0.507774697,0.618747969,0.374018309,2848,11569325530352163227,3029,803,TRUE
99,https://github.com/electron/electron,mas-testing-x64-gn-check,electron/electron,mas-testing-x64-gn-check,#N/A,Skip build when only documents are modified ,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,mas-testing-x64-gn-check,electron/electron,mas-testing-x64-gn-check,if [ -s src/electron/.skip-ci-build ]; then,,0.245334441,0.184739362,0.37508608,0.08905356,3528,10108447345694201908,3752,1003,TRUE
184,https://github.com/electron/electron,mas-testing-x64-tests,electron/electron,mas-testing-x64-tests,#N/A,Skip testing when only documents are modified,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,mas-testing-x64-tests,electron/electron,mas-testing-x64-tests,if [ -s src/electron/.skip-ci-build ]; then,,0.23918945,0.217566511,0.352297283,0.073759496,2143,1790040961394962068,2278,545,TRUE
142,https://github.com/electron/electron,osx-testing,electron/electron,osx-testing,#N/A,Skip builds (many things) when only documents are modified; Use cache for PR commits; Skip taking snapshot for non-PR commits,Skip if only changed docs,△,,,,,,Skip if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; Check PR_number using environment variable;  ,"Use files from other jobs
Use bash -s command",1,,Use files from other jobs; Use bash -s command,HALT;OTHER;SKIP,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,osx-testing,electron/electron,osx-testing,if [ -s src/electron/.skip-ci-build ]; then,,0.497900116,0.48418369,0.788238767,0.035047951,15317,5610384759714441709,16293,1093,TRUE
198,https://github.com/electron/electron,osx-testing-arm64,electron/electron,osx-testing-arm64,#N/A,Skip builds (many things) when only documents are modified; Use cache for PR commits; Skip taking snapshot for non-PR commits,Skip if only changed docs,△,,,,,,Skip if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable; Check PR_number using environment variable;  ,"Use files from other jobs
Use bash -s command",1,,Use files from other jobs; Use bash -s command,HALT;OTHER;SKIP,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,osx-testing-arm64,electron/electron,osx-testing-arm64,if [ -s src/electron/.skip-ci-build ]; then,,0.675250204,0.537517903,0.821848955,0.135133525,2571,381661085070448358,2734,761,TRUE
76,https://github.com/electron/electron,osx-testing-gn-check,electron/electron,osx-testing-gn-check,#N/A,Skip builds when only documents are modified; Use cache for PR commits;,Skip if only changed docs,△,,,,,,Skip if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change; Check PR_number using environment variable;,"Use files from other jobs
Use bash -s command",1,,Use files from other jobs; Use bash -s command,HALT;OTHER;,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,osx-testing-gn-check,electron/electron,osx-testing-gn-check,if [ -s src/electron/.skip-ci-build ]; then,,0.644273505,0.550039866,1.124040413,0.093896868,15026,11947204694649088253,15984,1165,TRUE
20,https://github.com/electron/electron,osx-testing-tests,electron/electron,osx-testing-tests,#N/A,Skip testing when only documents are modified ,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change;,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT;,Remaining steps,,,Remaining steps,There is another aceceleration but the latest does not have,,Shortcircuit build if doc only change,https://github.com/electron/electron,osx-testing-tests,electron/electron,osx-testing-tests,if [ -s src/electron/.skip-ci-build ]; then,,0.604325088,0.585249458,0.916146508,0.119168433,12032,16272259612503180522,12798,864,TRUE
82,https://github.com/electron/electron,osx-testing-x64,electron/electron,osx-testing-x64,#N/A,Skip builds (many things) when only documents are modified;Skip taking snapshot for non-PR commits;Skip release for fork project,Skip if only changed docs,△,,,,,,Skip if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change;Check PR_number using environment variable; Check PR_number using environment variable; ,"Use files from other jobs
Use bash -s command",1,,Use files from other jobs; Use bash -s command,HALT;SKIP;SKIP,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,osx-testing-x64,electron/electron,osx-testing-x64,if [ -s src/electron/.skip-ci-build ]; then,,0.468164911,0.481962596,0.598055571,0.373665667,2859,11569546275766812061,3040,804,TRUE
190,https://github.com/electron/electron,osx-testing-x64-gn-check,electron/electron,osx-testing-x64-gn-check,#N/A,Skip builds when only documents are modified  ,Skip if only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change;,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT;,Remaining steps,,,Remaining steps,,,Shortcircuit build if doc only change,https://github.com/electron/electron,osx-testing-x64-gn-check,electron/electron,osx-testing-x64-gn-check,if [ -s src/electron/.skip-ci-build ]; then,,0.217734644,0.188339624,0.371108057,0.087803936,3529,1008380293306113822,3753,1003,TRUE
92,https://github.com/electron/electron,osx-testing-x64-tests,electron/electron,osx-testing-x64-tests,#N/A,Skip testing when only documents are modified ,Skip if only changed docs,0,,,,,,Skip tests if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change;,"Use files from other jobs
Use bash -s command",1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT;,Remaining steps,,,Remaining steps,"step-maybe-early-exit-doc-only-change
",,Shortcircuit build if doc only change,https://github.com/electron/electron,osx-testing-x64-tests,electron/electron,osx-testing-x64-tests,if [ -s src/electron/.skip-ci-build ]; then,,0.184462902,0.270146512,0.921368445,0.077028532,2072,11049956652567883105,2204,526,TRUE
113,https://github.com/electron/electron,ts-compile-doc-change,electron/electron,ts-compile-doc-change,#N/A,Skip builds when only non-documents are modified,Skip if not only changed docs,0,,,,,,Skip build if only changed docs,Check modified files using GitHub API and save a file with value true to indicate doc only change;,Use Circle CI env var.,1,,Check modified files using GitHub API and save a file with value true to indicate doc only change; Use Circle CI env var.,HALT;,Remaining steps,,,Remaining steps,,,Check if commit is doc only change,https://github.com/electron/electron,ts-compile-doc-change,electron/electron,ts-compile-doc-change,if node script/doc-only-change.js --prNumber=$CIRCLE_PR_NUMBER --prURL=$CIRCLE_PULL_REQUEST --prBranch=$CIRCLE_BRANCH; then,,0.742943812,0.774279199,0.872971165,0.710739416,12952,8567379949247124157,13777,1433,TRUE
286,https://github.com/ethereum/solidity,b_ubu_asan_clang,ethereum/solidity,b_ubu_asan_clang,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.267299316,0.49471941,0.935254375,0,2115,4539271076487291839,2249,918,FALSE
19,https://github.com/expo/expo,android_test_suite,expo/expo,android_test_suite,no,Skip tests when source code are not changed,"Skip when only certain files were changed
Do not skip in a certain branch.",△,Skip when only certain files were changed,,,,We may be able to reflact the non-skip condition on certain branch,Skip when only certain files were changed,Check git log to find changes,"Check Circle CI env var.
Use find command",1,,Check Circle CI env var.; Use find command,HALT,Remaining steps,0,,Remaining steps,mainly build configs,,Stop the job if only ^(.*)(\/(.git\/|LICENSE|THIRD-PARTY-LICENSES|node_modules|docs|guides|scripts|template-files|templates).*|\.md$) was changed,https://github.com/expo/expo,android_test_suite,expo/expo,android_test_suite,if ! find $PWD/* -maxdepth $SEARCH_DEPTH | while read file ; do,,0.602039343,0.464653997,0.636074515,0,1664,16494843608921639372,1769,316,TRUE
157,https://github.com/expo/expo,android_unit_tests,expo/expo,android_unit_tests,#N/A,Skip tests when files in specific directories are not changed,Skip when there are no relevant changes.,0,,,,,,Skip tests when files in specific directories are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,android_unit_tests,expo/expo,android_unit_tests,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.325748939,0.220764153,0.325748939,0.052862068,1027,4679182398678115189,1091,695,TRUE
21,https://github.com/expo/expo,client_android,expo/expo,client_android,#N/A,Skip install when specific components are not changed,Skip when there are no relevant changes.,0,,,,,,Skip install when specific components are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,client_android,expo/expo,client_android,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.228538755,0.405481374,0.917343495,0.102335707,8791,16240311272884645091,9351,880,TRUE
53,https://github.com/expo/expo,client_ios,expo/expo,client_ios,#N/A,Skip install when specific components are not changed,Skip when there are no relevant changes.,0,,,,,,Skip install when specific components are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,they want changes in doc,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,client_ios,expo/expo,client_ios,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.238113261,0.331460318,0.838882168,0.022330345,8967,13679982592698355407,9538,958,TRUE
129,https://github.com/expo/expo,docs,expo/expo,docs,#N/A,Skip install when only non-documents are modified,Skip when there are no relevant changes.,0,,,,,,Skip install when only non-documents are modified,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,"they test with jest when home, packages.json, or circle-ci setting file is modified",,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,docs,expo/expo,docs,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.168434759,0.328726389,0.824375948,0.018323101,8902,7089599539617014277,9469,859,TRUE
165,https://github.com/expo/expo,expo_sdk,expo/expo,expo_sdk,#N/A,Skip install when configs are not changed,Skip when there are no relevant changes.,0,,,,,,Skip install when configs are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,expo_sdk,expo/expo,expo_sdk,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.365367231,0.436931617,1.141541291,0.081627865,9407,3755247920861125822,10007,733,TRUE
107,https://github.com/expo/expo,expotools,expo/expo,expotools,#N/A,Skip install when specific components are not changed,Skip when there are no relevant changes.,0,,,,,,Skip install when specific components are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,expotools,expo/expo,expotools,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.734730529,0.671544369,0.931638028,0,10497,9412349823197095634,11166,920,TRUE
1,https://github.com/expo/expo,home,expo/expo,home,yes,Skip install when specific components are not changed,Skip when there are no relevant changes.,0,,,,,,Skip install when specific components are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,except master,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,home,expo/expo,home,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.680134866,0.617743241,0.951252538,0.079961281,10640,18358003637692492730,11318,927,TRUE
177,https://github.com/expo/expo,ios_test_suite,expo/expo,ios_test_suite,#N/A,Skip install when specific components are not changed,Skip when there are no relevant changes.,0,,,,,,Skip install when specific components are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,ios_test_suite,expo/expo,ios_test_suite,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.147452474,0.193042137,0.321749537,0.084552212,3678,2620958150412698647,3912,706,TRUE
56,https://github.com/expo/expo,test_suite_publish,expo/expo,test_suite_publish,#N/A,Skip publish when files in specific directories are not changed,"Skip when only certain files were changed
Do not skip in a certain branch.",△,,,,,,Skip publish when files in specific directories are not changed,Check git log to find changes,"Check Circle CI env var.
Use find command",1,,Check Circle CI env var.; Use find command,HALT,Remaining steps,0,,Remaining steps,,,Stop the job if only ^(.*)(\/(.git\/|LICENSE|THIRD-PARTY-LICENSES|node_modules|docs|guides|scripts|template-files|templates|native-component-list|bare-expo).*|\.md$) was changed,https://github.com/expo/expo,test_suite_publish,expo/expo,test_suite_publish,if ! find $PWD/* -maxdepth $SEARCH_DEPTH | while read file ; do,,0.409579261,0.476633092,0.921838176,0.147018497,5811,13306282679273402521,6181,779,TRUE
47,https://github.com/expo/expo,web_test_suite,expo/expo,web_test_suite,#N/A,Skip install when specific components are not changed,Skip when there are no relevant changes.,0,,,,,,Skip install when specific components are not changed,Check git log to find changes,Access Circle CI API.,1,,Check git log to find changes,HALT,Remaining steps,0,,Remaining steps,,,Skip job if no relevant changes since last successful build on branch,https://github.com/expo/expo,web_test_suite,expo/expo,web_test_suite,"if git log --name-status --exit-code --format=oneline ""$GIT_BASE_REVISION..$CIRCLE_SHA1"" -- .circleci/config.yml android fastlane tools/expotools Gemfile .ruby-version package.json yarn.lock; then",,0.634012911,0.596652918,0.97389095,0,8433,13834182843184718646,8970,864,TRUE
240,https://github.com/facebookresearch/ParlAI,unittests_gpu11,facebookresearch/ParlAI,unittests_gpu11,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.198171368,0.356939355,0.991486091,0.04709783,1459,11220651390997383533,1551,320,FALSE
278,https://github.com/FarmBot/farmbot_os,build_rpi3_prod,FarmBot/farmbot_os,build_rpi3_prod,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.2526624,0.316505499,0.789194978,0.083515225,1212,18122593090161004287,1288,164,FALSE
45,https://github.com/freedomofpress/securedrop,staging-test-with-rebase,freedomofpress/securedrop,staging-test-with-rebase,#N/A,Skip testing for specific branches,x?,1,Skip testing for specific branches,,,,,Skip testing for specific branches,Check branch name using environment variables and regular expression,,1,Check branch name using environment variables and regular expression,Check branch name using environment variables and regular expression,SKIP,,1,Step,Step,,,,https://github.com/freedomofpress/securedrop,staging-test-with-rebase,freedomofpress/securedrop,staging-test-with-rebase,,,0.059652052,0.278610101,0.814197592,0.01197856,3199,14025623757504031946,3403,207,FALSE
274,https://github.com/gatsbyjs/gatsby,deploy_www,gatsbyjs/gatsby,deploy_www,#N/A,x,?,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.250858404,0.314656411,0.642765705,0.217205812,972,4993711931508819676,1033,168,FALSE
241,https://github.com/gatsbyjs/gatsby,e2e_tests_development_runtime,gatsbyjs/gatsby,e2e_tests_development_runtime,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.20026797,0.207978801,0.307328264,0.089340016,19422,10546497227522073606,20660,1298,FALSE
267,https://github.com/gatsbyjs/gatsby,e2e_tests_gatsby-image,gatsbyjs/gatsby,e2e_tests_gatsby-image,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.243539984,0.249607858,0.403676631,0.110071576,22624,12289530423106747903,24067,1347,FALSE
207,https://github.com/gatsbyjs/gatsby,e2e_tests_gatsby-static-image,gatsbyjs/gatsby,e2e_tests_gatsby-static-image,yes,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,Skip testing when files in specific directories are not changed,Check git diff-tree to find changes,Check git history,0,,Check git diff-tree to find changes,HALT,Remaining steps,0,,Remaining steps,,,,https://github.com/gatsbyjs/gatsby,e2e_tests_gatsby-static-image,gatsbyjs/gatsby,e2e_tests_gatsby-static-image,./scripts/assert-changed-files.sh,y,0.264825956,0.259334188,0.278932623,0.232915651,1909,17657266288610883874,2030,893,FALSE
238,https://github.com/gatsbyjs/gatsby,e2e_tests_gatsbygram,gatsbyjs/gatsby,e2e_tests_gatsbygram,no,Skip testing when files in specific directories are not changed,x,1,,,,,,x,Check git diff-tree to find changes,x,1,,x,HALT,x,1,,x,,,,,,,,,,0.19598045,0.196797247,0.408412666,0.108169991,9056,17341554237488075566,9633,1305,FALSE
277,https://github.com/gatsbyjs/gatsby,e2e_tests_path-prefix,gatsbyjs/gatsby,e2e_tests_path-prefix,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.252413361,0.260186206,0.448950736,0.081526323,22710,349819806492818473,24158,1363,FALSE
225,https://github.com/gatsbyjs/gatsby,e2e_tests_pnp,gatsbyjs/gatsby,e2e_tests_pnp,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.169204969,0.198773087,0.429833141,0.146195436,5771,13250477350489737687,6138,1041,FALSE
222,https://github.com/gatsbyjs/gatsby,e2e_tests_production_runtime,gatsbyjs/gatsby,e2e_tests_production_runtime,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,remaining steps,,,,,,,,,,0.161961639,0.18056894,0.336204722,0,19365,4107452277355552223,20599,1306,FALSE
205,https://github.com/gatsbyjs/gatsby,e2e_tests_runtime,gatsbyjs/gatsby,e2e_tests_runtime,yes,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,Skip testing when files in specific directories are not changed,Check git diff-tree to find changes,Check git history,0,,Check git diff-tree to find changes,HALT,Remaining steps,0,,Remaining steps,,,,https://github.com/gatsbyjs/gatsby,e2e_tests_runtime,gatsbyjs/gatsby,e2e_tests_runtime,"./scripts/assert-changed-files.sh ""packages/*|.circleci/*|e2e-tests/production-runtime/*""",y,0.200981361,0.176116467,0.287103777,0.060674216,2665,16813327670576183232,2834,1326,FALSE
259,https://github.com/gatsbyjs/gatsby,e2e_tests_visual-regression,gatsbyjs/gatsby,e2e_tests_visual-regression,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.238251554,0.242441516,0.271723603,0.196477975,1531,8203454774331226106,1628,874,FALSE
249,https://github.com/gatsbyjs/gatsby,integration_tests,gatsbyjs/gatsby,integration_tests,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.21714981,0.388796419,1.012411881,0.203634338,5959,12647163375475285128,6338,1912,FALSE
203,https://github.com/gatsbyjs/gatsby,integration_tests_artifacts,gatsbyjs/gatsby,integration_tests_artifacts,yes,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,Skip testing when files in specific directories are not changed,Check git diff-tree to find changes,Check git history,0,,Check git diff-tree to find changes,HALT,Remaining steps,0,,Remaining steps,,,,https://github.com/gatsbyjs/gatsby,integration_tests_artifacts,gatsbyjs/gatsby,integration_tests_artifacts,"./scripts/assert-changed-files.sh ""packages/*|.circleci/*|integration-tests/artifacts/*""",y,0.183096117,0.278831576,0.464971949,0.107640211,3744,16957883708137869130,3982,903,FALSE
209,https://github.com/gatsbyjs/gatsby,integration_tests_long_term_caching,gatsbyjs/gatsby,integration_tests_long_term_caching,yes,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,Skip testing when files in specific directories are not changed,Check git diff-tree to find changes,Check git history,0,,Check git diff-tree to find changes,HALT,Remaining steps,0,,Remaining steps,,,,https://github.com/gatsbyjs/gatsby,integration_tests_long_term_caching,gatsbyjs/gatsby,integration_tests_long_term_caching,"./scripts/assert-changed-files.sh ""packages/*|.circleci/*|integration-tests/long-term-caching/*""",y,0.32556411,0.318711816,0.49441178,0.07744277,19008,17292688982798961223,20220,1365,FALSE
22,https://github.com/gatsbyjs/gatsby,integration_tests_ssr,gatsbyjs/gatsby,integration_tests_ssr,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,Skip testing when files in specific directories are not changed,Check git diff-tree to find changes,Check git history,0,,Check git diff-tree to find changes,HALT,Remaining steps,0,,Remaining steps,,,scripts/assert-changed-files.sh,https://github.com/gatsbyjs/gatsby,integration_tests_ssr,gatsbyjs/gatsby,integration_tests_ssr,"./scripts/assert-changed-files.sh ""packages/*|.circleci/*|integration-tests/ssr/*""",,0.127900393,0.241970346,0.57539593,0.127607094,962,16090696955433366772,1023,539,FALSE
264,https://github.com/gatsbyjs/gatsby,integration_tests_structured_logging,gatsbyjs/gatsby,integration_tests_structured_logging,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.2418289,0.247728533,0.613248207,0.059599663,10567,3115672011514553836,11240,1116,FALSE
283,https://github.com/gatsbyjs/gatsby,mdx_e2e_tests,gatsbyjs/gatsby,mdx_e2e_tests,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.26293362,0.293215762,0.373129248,0.255510545,3912,1487362256509410979,4160,910,FALSE
271,https://github.com/gatsbyjs/gatsby,themes_e2e_tests_development_runtime,gatsbyjs/gatsby,themes_e2e_tests_development_runtime,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.247881459,0.26209199,0.384470943,0.158241918,13769,3798393052312182181,14647,1364,FALSE
275,https://github.com/gatsbyjs/gatsby,themes_e2e_tests_production_runtime,gatsbyjs/gatsby,themes_e2e_tests_production_runtime,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.251575163,0.269282483,0.388452198,0.156084373,13799,2481823307687272862,14678,1365,FALSE
253,https://github.com/gatsbyjs/gatsby,unit_tests_node10,gatsbyjs/gatsby,unit_tests_node10,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.225306983,0.255214041,0.479075315,0.120223975,33055,7084715877337128699,35164,1997,FALSE
282,https://github.com/gatsbyjs/gatsby,unit_tests_node12,gatsbyjs/gatsby,unit_tests_node12,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.261933901,0.257585274,0.425141565,0.146094177,23363,16087803471800432055,24853,1930,FALSE
280,https://github.com/gatsbyjs/gatsby,unit_tests_node6,gatsbyjs/gatsby,unit_tests_node6,#N/A,Skip testing when files in specific directories are not changed,No files match grep pattern,0,,,,,,No files match grep pattern,Check git diff-tree to find changes,,0,,Check git diff-tree to find changes,HALT,,0,,Remaining steps,,,,,,,,,,0.257618129,0.18844747,0.643908214,0,11561,12274042925112376007,12297,1787,FALSE
285,https://github.com/GeotrekCE/Geotrek-admin,docker_image,GeotrekCE/Geotrek-admin,docker_image,#N/A,x,x,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.266035907,0.476532559,1.128831681,0.048129264,1036,10020749534269575217,1100,216,FALSE
263,https://github.com/GetDKAN/dkan,build,GetDKAN/dkan,build,#N/A,x,?,0,,,,,,x,x,x,0,,x,x,x,0,,x,,,,,,,,,,0.241228971,0.323436046,0.836331208,0,1121,903779213386627420,1191,94,FALSE
